id,name,age,class_name,grade
257,Eva Verma,17,12A,B
258,Hannah Verma,15,11A,B
259,Hannah Patel,18,12B,E
260,Alice Sharma,16,11B,E
261,Frank Mehta,15,11A,A
262,Bob Patel,18,10B,E
263,Frank Roy,17,12A,B
264,Grace Sharma,17,11B,D
265,Hannah Iyer,16,11B,D
266,Ivan Nair,14,10B,D
267,Charlie Roy,15,12B,C
268,Ivan Roy,14,12B,A
269,Jack Roy,16,10A,E
270,Jack Das,18,11B,D
271,David Verma,16,10A,C
272,Jack Roy,18,10B,C
273,Ivan Patel,14,11A,C
274,Alice Mehta,17,10A,E
275,Charlie Khan,18,12A,D
276,Jack Das,16,12A,C
277,David Iyer,18,10B,B
278,Eva Patel,17,11B,A
279,Eva Mehta,15,12B,B
280,Jack Mehta,14,11B,D
281,Grace Iyer,14,12A,D
282,Charlie Nair,16,11A,D
283,Grace Roy,18,12A,B
284,Bob Patel,18,11A,C
285,Eva Iyer,16,10A,A
286,Alice Mehta,18,12A,D
287,Frank Nair,15,10B,D
288,Grace Khan,17,11A,A
289,Frank Mehta,18,11A,C
290,Frank Patel,18,11A,A
291,Alice Khan,17,10A,E
292,Hannah Khan,16,11A,A
293,David Nair,16,12A,B
294,Ivan Sharma,18,11B,A
295,Bob Nair,15,11B,E
296,Charlie Patel,15,11B,A
297,Alice Verma,16,10A,B
298,Jack Nair,17,10A,D
299,Charlie Khan,15,11A,B
300,Charlie Khan,17,12A,C
301,Eva Singh,14,12A,B
302,Bob Das,17,12B,C
303,Charlie Sharma,18,12A,B
304,Jack Khan,17,11B,C
305,Bob Verma,14,10B,E
306,Charlie Roy,17,11B,D
307,David Roy,14,12A,B
308,Frank Khan,16,12B,D
309,Jack Das,16,12A,C
310,Charlie Roy,14,10A,D
311,David Roy,15,12A,C
312,David Sharma,14,10A,C
313,Eva Das,15,11A,E
314,Bob Nair,18,12B,B
315,Grace Sharma,16,12B,A
316,Bob Nair,17,12B,D
317,Jack Verma,16,12B,C
318,Alice Iyer,14,11A,C
319,Charlie Khan,15,10B,C
320,Grace Sharma,18,10A,D
321,Grace Sharma,14,10A,B
322,Grace Nair,17,10A,B
323,Charlie Mehta,18,11A,B
324,Grace Roy,15,10B,B
325,Alice Singh,16,10B,C
326,Hannah Iyer,18,10A,E
327,Alice Khan,14,11A,D
328,Jack Singh,16,12A,D
329,Ivan Roy,18,11B,C
330,Grace Verma,16,11A,D
331,Alice Nair,16,11B,D
332,Alice Nair,18,10A,B
333,Bob Mehta,16,11B,B
334,Eva Iyer,16,12B,D
335,David Verma,17,11B,E
336,Grace Mehta,14,10B,B
337,Alice Verma,15,10A,A
338,Ivan Mehta,16,12B,D
339,Ivan Roy,18,11A,A
340,Charlie Iyer,18,10A,E
341,Grace Iyer,18,11A,A
342,Frank Sharma,18,11B,A
343,Frank Patel,16,10A,A
344,Charlie Khan,14,12B,D
345,Jack Khan,14,11A,D
346,David Patel,16,11B,A
347,Alice Sharma,14,11B,A
348,Charlie Patel,16,10B,E
349,Frank Patel,18,10A,A
350,Grace Patel,14,10B,D
351,David Nair,16,11A,B
352,Bob Khan,14,11B,A
353,Hannah Singh,18,11B,E
354,Charlie Iyer,15,11A,D
355,Jack Nair,15,10A,E
356,Eva Nair,14,10A,A
357,Charlie Iyer,16,11A,A
358,Bob Mehta,16,10A,C
359,Jack Singh,18,10A,E
360,Eva Khan,18,10B,B
361,Charlie Iyer,14,10B,D
362,Eva Verma,15,10B,E
363,Ivan Roy,14,12B,B
364,Hannah Sharma,15,10B,B
365,Alice Khan,17,10B,A
366,Ivan Sharma,16,10B,D
367,Jack Sharma,18,10A,E
368,David Singh,17,12B,E
369,Frank Nair,17,10A,B
370,David Verma,14,10B,C
371,Grace Mehta,16,11B,B
372,Charlie Mehta,14,10B,A
373,Hannah Das,18,12B,D
374,Alice Nair,15,11A,A
375,Jack Singh,15,12B,E
376,Alice Roy,17,10A,D
377,Hannah Das,14,10A,A
378,Alice Das,16,12B,D
379,David Mehta,14,11B,D
380,Hannah Roy,16,12B,B
381,Frank Sharma,14,11A,B
382,Jack Singh,18,10A,E
383,Alice Sharma,15,12A,A
384,Grace Singh,15,12B,B
385,Frank Patel,15,12B,D
386,Ivan Nair,16,11B,B
387,Grace Mehta,14,10A,C
388,Alice Verma,15,10A,D
389,David Verma,15,11B,A
390,Bob Verma,18,10A,E
391,Frank Iyer,15,10A,A
392,David Mehta,17,12B,E
393,Frank Roy,16,11A,C
394,Jack Patel,15,11B,E
395,Charlie Iyer,16,10B,D
396,Grace Patel,16,11A,C
397,Eva Mehta,17,10A,B
398,Alice Iyer,18,11B,A
399,Charlie Iyer,16,10B,E
400,David Singh,17,10A,D
401,Hannah Roy,14,10A,C
402,Grace Roy,16,10B,A
403,David Nair,16,10A,D
404,Grace Patel,18,11A,E
405,Alice Roy,15,12B,B
406,Frank Das,15,12B,D
407,David Mehta,14,11B,B
408,Grace Mehta,14,10B,A
409,Grace Sharma,17,12B,D
410,Frank Mehta,16,11B,B
411,Frank Singh,17,11A,A
412,Eva Nair,18,11A,C
413,Bob Singh,15,11A,E
414,Jack Mehta,17,10B,A
415,Grace Khan,15,11B,C
416,Hannah Das,16,11B,B
417,Bob Mehta,14,11A,B
418,Grace Khan,16,12A,A
419,Hannah Singh,17,10A,E
420,Frank Das,18,10A,C
421,Alice Roy,18,12B,B
422,Alice Patel,16,11A,D
423,Bob Khan,16,10B,E
424,Jack Khan,14,10A,C
425,Charlie Mehta,18,10B,A
426,Eva Singh,17,10B,B
427,Grace Verma,14,12A,D
428,Ivan Mehta,14,12A,E
429,Bob Mehta,14,10A,E
430,Bob Das,15,11A,E
431,Ivan Khan,14,12A,E
432,Bob Sharma,16,12B,C
433,Eva Mehta,18,10B,E
434,Charlie Khan,17,10B,A
435,Hannah Nair,15,11A,C
436,Alice Das,17,10A,A
437,Eva Singh,16,10A,D
438,Jack Nair,17,11B,E
439,David Roy,14,11A,D
440,Grace Sharma,17,12A,E
441,Frank Patel,15,11B,E
442,Grace Nair,14,11B,B
443,Eva Mehta,17,11B,A
444,Grace Iyer,16,11B,A
445,Alice Singh,18,11B,A
446,Charlie Iyer,18,11A,E
447,Ivan Roy,15,11A,A
448,Eva Verma,18,12B,B
449,Ivan Singh,16,12B,C
450,Alice Mehta,18,11A,C
451,Bob Verma,17,12B,B
452,Charlie Das,15,11B,A
453,Ivan Verma,17,12B,D
454,David Patel,14,12B,A
455,Eva Singh,17,10A,E
456,Charlie Roy,18,11A,D
457,David Das,16,10A,B
458,Eva Nair,17,11B,B
459,Hannah Mehta,15,11A,B
460,Frank Iyer,16,12B,E
461,Ivan Singh,17,12B,B
462,Grace Iyer,17,11A,A
463,Grace Nair,17,11B,D
464,Hannah Khan,17,11A,D
465,Hannah Verma,17,11A,B
466,Ivan Verma,16,10B,A
467,Hannah Roy,15,12A,C
468,Eva Sharma,18,12A,A
469,Charlie Das,15,12B,D
470,Grace Nair,16,10B,D
471,Bob Roy,15,11B,B
472,Frank Mehta,14,10A,E
473,Charlie Patel,16,10B,B
474,Hannah Roy,14,10A,A
475,Jack Sharma,18,10B,A
476,Hannah Sharma,14,11A,A
477,Ivan Mehta,16,10A,B
478,Alice Roy,14,11A,D
479,Alice Sharma,14,11B,B
480,Hannah Patel,16,12B,E
481,Alice Das,14,11B,A
482,Alice Nair,16,12A,C
483,Grace Khan,18,12B,A
484,Alice Mehta,16,12A,E
485,Eva Verma,15,10B,E
486,Frank Iyer,15,12B,E
487,Hannah Singh,14,10A,E
488,Bob Nair,17,11B,D
489,Eva Roy,17,12B,C
490,Charlie Iyer,17,11B,C
491,David Khan,15,12B,C
492,Hannah Roy,16,10B,A
493,Alice Khan,14,11B,B
494,Eva Mehta,18,10A,D
495,David Singh,16,10B,A
496,Grace Verma,14,10A,D
497,Eva Khan,17,12A,C
498,Ivan Das,18,11A,E
499,Ivan Patel,18,12A,C
500,Ivan Iyer,16,12A,E
501,Ivan Iyer,14,11B,C
502,Bob Iyer,15,10B,C
503,Charlie Mehta,14,11B,B
504,Frank Verma,14,12A,B
505,Hannah Nair,16,10A,E
506,Alice Das,16,10A,C
507,Alice Das,15,12A,B
508,Bob Roy,14,12A,B
509,David Verma,17,11A,D
510,Jack Roy,17,12B,B
511,Alice Roy,17,12B,B
512,Bob Verma,14,12A,C
513,Alice Singh,17,11B,E
514,Bob Nair,14,11A,E
515,Hannah Patel,17,12B,E
516,Grace Iyer,16,10B,A
517,Jack Sharma,16,12A,C
518,David Khan,14,12A,A
519,Hannah Das,15,12B,E
520,Frank Iyer,18,11B,B
521,Frank Iyer,17,10B,D
522,David Das,17,10B,B
523,Eva Singh,16,11B,B
524,Hannah Iyer,14,10A,A
525,Alice Verma,15,10B,E
526,Eva Roy,16,11A,C
527,Jack Sharma,17,12A,C
528,Eva Khan,17,12A,E
529,Eva Roy,16,11A,C
530,Bob Verma,18,11B,C
531,Bob Verma,18,12A,B
532,Eva Roy,17,10A,A
533,Hannah Patel,16,12B,D
534,David Mehta,16,10B,A
535,Jack Patel,16,12B,B
536,Eva Nair,18,10A,E
537,Jack Sharma,17,11A,E
538,Frank Mehta,15,10A,D
539,Bob Verma,14,12A,D
540,Alice Khan,15,10A,E
541,Ivan Singh,15,11A,D
542,Bob Mehta,16,12A,E
543,Alice Verma,18,11A,E
544,Hannah Singh,15,11B,D
545,Ivan Patel,14,10A,B
546,Hannah Patel,16,10B,B
547,Grace Khan,18,11A,A
548,Ivan Mehta,16,12B,A
549,David Mehta,16,11A,B
550,Jack Roy,16,11B,E
551,David Verma,16,11B,C
552,Grace Singh,18,11B,A
553,Frank Iyer,17,10A,B
554,Eva Patel,14,10A,A
555,Jack Sharma,16,11B,A
556,Eva Sharma,14,10B,B
557,Grace Das,14,12B,A
558,Hannah Singh,14,11A,B
559,Grace Singh,17,11B,A
560,Charlie Patel,15,12A,C
561,Charlie Khan,14,10A,A
562,Eva Verma,14,12A,C
563,Jack Sharma,17,10A,C
564,Alice Roy,17,11B,D
565,Ivan Nair,14,10A,E
566,Hannah Sharma,17,10B,D
567,Hannah Roy,15,12A,A
568,Eva Patel,18,10B,E
569,Hannah Das,16,10B,E
570,Jack Khan,17,12B,E
571,Alice Mehta,18,10A,D
572,Frank Nair,14,10B,E
573,Eva Patel,15,10A,E
574,Bob Iyer,17,11A,B
575,Frank Mehta,17,11A,C
576,Jack Verma,16,11A,A
577,Grace Patel,17,10B,C
578,Ivan Nair,15,11A,E
579,Jack Khan,14,12B,D
580,Ivan Khan,17,10B,A
581,David Sharma,18,10A,A
582,Eva Roy,18,11A,B
583,Alice Khan,17,11B,B
584,Frank Sharma,15,12B,D
585,Jack Roy,17,10A,A
586,Frank Das,17,10B,A
587,Hannah Das,16,10B,C
588,Alice Patel,16,10A,C
589,Bob Iyer,16,10A,E
590,Alice Das,17,11B,C
591,Eva Khan,15,11A,A
592,Grace Singh,18,10B,A
593,Bob Patel,14,10B,B
594,Jack Iyer,17,12A,A
595,Ivan Verma,15,12B,E
596,Bob Verma,18,11B,E
597,Ivan Sharma,14,12B,C
598,Bob Khan,16,11A,D
599,David Singh,18,12A,E
600,Charlie Das,15,11A,B
601,Eva Nair,17,12B,C
602,David Das,16,10A,E
603,Jack Nair,14,11A,C
604,Frank Sharma,17,12A,B
605,Ivan Singh,14,10B,B
606,David Verma,17,12A,E
607,Ivan Nair,18,10B,E
608,Frank Mehta,17,10B,B
609,Grace Verma,14,10A,B
610,Alice Patel,18,10B,A
611,Bob Roy,16,11B,B
612,Eva Das,16,12B,A
613,Charlie Das,16,12B,C
614,Jack Verma,18,10A,B
615,Jack Nair,14,10A,A
616,Eva Nair,17,12A,E
617,Grace Das,17,11A,A
618,Eva Patel,15,11A,B
619,Grace Das,15,11A,A
620,Alice Verma,16,10B,C
621,Alice Das,16,11A,E
622,Charlie Sharma,15,12A,C
623,Jack Das,16,11B,D
624,Frank Mehta,16,11A,E
625,Charlie Roy,14,12A,A
626,Hannah Mehta,16,10B,E
627,Bob Iyer,16,12B,D
628,Charlie Roy,16,12B,D
629,Jack Patel,17,11B,B
630,Ivan Patel,14,11A,C
631,Eva Khan,16,11A,C
632,Hannah Nair,14,10A,E
633,Charlie Verma,14,12A,C
634,Alice Das,18,10A,D
635,Frank Singh,14,10B,E
636,Eva Roy,18,10A,B
637,Grace Iyer,17,11B,C
638,Hannah Sharma,16,12A,B
639,David Patel,15,11A,A
640,Hannah Singh,14,12B,E
641,Grace Singh,18,12B,E
642,Charlie Mehta,18,11A,C
643,David Mehta,16,11B,E
644,Grace Mehta,14,12A,C
645,Frank Sharma,16,12B,E
646,Ivan Roy,18,12B,B
647,Alice Nair,17,11B,E
648,Alice Roy,17,11B,B
649,Hannah Nair,14,10A,D
650,Charlie Sharma,17,10B,E
651,Frank Das,18,12B,E
652,Frank Roy,17,12A,E
653,Charlie Singh,17,12B,B
654,David Sharma,15,10B,A
655,Alice Khan,17,10B,A
656,Ivan Roy,16,10B,A
657,David Nair,14,12A,E
658,Bob Singh,14,11B,D
659,Grace Verma,16,11A,D
660,Frank Das,18,12B,C
661,Charlie Patel,14,11A,E
662,Frank Roy,14,10A,E
663,Eva Patel,16,12B,B
664,David Singh,16,12B,C
665,Jack Roy,17,10B,B
666,Ivan Khan,15,10A,D
667,Frank Patel,16,10B,D
668,Ivan Singh,18,12A,E
669,Eva Khan,18,11A,D
670,Grace Nair,16,11B,A
671,Grace Roy,18,12A,A
672,David Patel,14,10A,C
673,Hannah Nair,18,11A,E
674,Hannah Sharma,18,12A,C
675,Hannah Patel,16,11A,A
676,Bob Patel,14,11B,A
677,Frank Khan,18,11B,A
678,Ivan Sharma,14,11A,B
679,Ivan Sharma,15,12B,A
680,Charlie Singh,14,10B,A
681,David Verma,14,11B,B
682,Jack Roy,18,11A,A
683,David Mehta,17,12A,D
684,Eva Singh,15,12B,B
685,Jack Khan,14,12A,A
686,Hannah Mehta,17,10B,E
687,Frank Sharma,17,12B,B
688,Charlie Khan,14,12A,B
689,Charlie Das,16,10B,C
690,Frank Roy,15,11B,E
691,Charlie Khan,18,10A,C
692,David Patel,18,10B,E
693,Charlie Verma,16,10A,E
694,Grace Mehta,14,10B,A
695,Bob Mehta,18,10A,E
696,Ivan Roy,18,12A,C
697,Grace Mehta,17,11A,E
698,Frank Iyer,15,12B,B
699,David Nair,15,11B,B
700,Eva Khan,14,10A,A
701,Jack Mehta,17,11A,C
702,Frank Khan,16,10B,B
703,Charlie Mehta,16,12A,D
704,David Khan,14,12A,D
705,Grace Roy,16,10A,E
706,Eva Verma,14,11B,A
707,Frank Iyer,18,10B,D
708,Jack Iyer,15,12B,C
709,Charlie Verma,17,12A,D
710,Alice Patel,16,11A,D
711,Eva Verma,15,11A,E
712,David Iyer,18,12A,B
713,David Singh,15,11B,D
714,Grace Iyer,15,10B,D
715,Jack Singh,16,11A,D
716,David Verma,18,12A,C
717,Alice Das,18,12A,C
718,Ivan Khan,16,12A,E
719,Alice Nair,17,11A,C
720,Ivan Roy,17,10B,E
721,Grace Singh,18,10B,E
722,Grace Patel,17,11B,B
723,Ivan Patel,16,10A,B
724,Jack Patel,14,10A,D
725,Charlie Sharma,17,12A,A
726,David Iyer,16,12B,C
727,Ivan Iyer,14,12B,C
728,David Das,18,12B,A
729,David Verma,17,11B,E
730,Charlie Sharma,16,12A,E
731,Jack Iyer,15,11A,A
732,Bob Iyer,14,12A,C
733,Frank Singh,17,12A,D
734,Hannah Verma,18,12A,C
735,Eva Das,16,10A,B
736,Eva Singh,14,12A,B
737,Alice Nair,18,12B,A
738,Bob Mehta,16,11A,B
739,Charlie Sharma,18,10A,A
740,Hannah Verma,15,11A,B
741,Hannah Khan,15,11A,C
742,David Iyer,16,12B,C
743,Eva Nair,16,12B,B
744,Ivan Patel,14,12A,E
745,Bob Nair,14,12B,C
746,Hannah Patel,16,12B,B
747,Jack Singh,18,11B,D
748,Bob Nair,18,12B,D
749,Bob Das,17,11B,B
750,Charlie Verma,18,10B,A
751,David Khan,18,10A,C
752,Ivan Khan,18,12B,B
753,Bob Sharma,14,12A,A
754,Frank Singh,17,10A,C
755,Frank Sharma,18,11B,D
756,Ivan Roy,17,12B,C
757,Alice Singh,18,12A,B
758,Grace Singh,15,12A,B
759,David Singh,17,10A,E
760,Ivan Nair,18,11A,A
761,Ivan Singh,18,12A,B
762,Jack Das,14,10B,A
763,Charlie Roy,18,10A,E
764,David Iyer,17,12B,C
765,Jack Das,14,12A,E
766,Hannah Sharma,18,11A,E
767,Alice Sharma,16,11A,A
768,Ivan Singh,15,11A,A
769,David Iyer,14,10A,B
770,David Khan,15,11A,D
771,Jack Roy,14,10A,B
772,Bob Das,18,10B,C
773,Alice Nair,18,10A,D
774,Grace Singh,18,11B,C
775,Grace Sharma,16,10B,A
776,Frank Khan,17,10B,E
777,Bob Khan,17,12B,E
778,Jack Verma,16,11A,B
779,David Mehta,18,12B,A
780,Hannah Khan,16,12A,A
781,Alice Nair,15,12B,B
782,Eva Khan,17,11A,C
783,Charlie Patel,14,11A,B
784,David Verma,18,10A,B
785,Grace Verma,15,12B,C
786,Frank Iyer,16,12B,B
787,Eva Khan,14,11A,E
788,Hannah Singh,16,11A,E
789,Hannah Khan,14,10A,E
790,Jack Roy,17,11A,B
791,Frank Das,18,11B,E
792,Eva Singh,15,11B,B
793,Eva Das,16,10B,C
794,Eva Iyer,18,10B,A
795,Ivan Roy,17,10B,A
796,David Das,14,10B,D
797,Grace Mehta,17,10A,A
798,Alice Singh,18,11B,E
799,David Singh,16,12B,D
800,David Das,15,11B,C
801,David Iyer,14,11A,D
802,Jack Das,17,11B,A
803,Eva Das,16,12A,B
804,Bob Roy,15,10A,A
805,Bob Iyer,14,10B,C
806,Jack Iyer,16,10B,D
807,Charlie Nair,18,12A,E
808,Charlie Nair,15,11A,E
809,Ivan Patel,15,12A,D
810,David Nair,18,11B,A
811,Ivan Verma,15,11A,E
812,David Nair,17,12A,E
813,Bob Sharma,15,10A,C
814,Frank Patel,16,10A,A
815,Ivan Iyer,16,12B,C
816,Charlie Nair,17,12B,A
817,Grace Verma,15,11A,C
818,Grace Khan,16,11A,B
819,Bob Iyer,16,12A,E
820,Alice Singh,17,10B,E
821,Frank Mehta,18,12A,A
822,Ivan Verma,15,11B,B
823,Charlie Nair,14,11B,C
824,Charlie Iyer,14,11A,E
825,Bob Mehta,18,12A,E
826,Bob Nair,14,12B,D
827,Jack Iyer,18,11A,A
828,Bob Verma,17,10A,C
829,Charlie Patel,16,11B,E
830,Jack Khan,15,12A,B
831,Jack Sharma,14,12B,A
832,Bob Patel,17,10A,B
833,Eva Das,17,11A,B
834,David Verma,16,11B,B
835,Frank Iyer,16,10B,E
836,Alice Sharma,18,11B,B
837,Hannah Patel,17,11A,A
838,Bob Iyer,16,12A,E
839,Jack Khan,16,10A,D
840,Bob Das,16,10B,D
841,David Roy,16,12B,E
842,Alice Patel,16,12A,E
843,Jack Das,15,10B,B
844,Bob Sharma,17,10B,D
845,Jack Verma,16,10B,E
846,Eva Khan,18,12B,B
847,Ivan Khan,18,10B,D
848,Alice Verma,18,11A,B
849,Alice Mehta,18,12A,A
850,David Singh,17,10A,B
851,Charlie Singh,16,11A,C
852,Alice Verma,17,11A,B
853,Ivan Verma,18,12A,B
854,Ivan Iyer,14,10B,D
855,Hannah Das,14,11A,B
856,Eva Mehta,17,11B,A
857,Grace Singh,15,11A,E
858,Bob Verma,16,10B,E
859,Grace Mehta,14,11A,B
